EntrezID	Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
310	ANXA7	1.24547292201661	5.87809120388975	6.7485932671578	1.31281949306794e-09	2.85940454202951e-08	11.6193266896248
388419	BTBD17	-1.71557548713151	7.36563365306841	-6.74807077055514	1.3159820586719e-09	2.85940454202951e-08	11.6169873298643
1880	GPR183	1.12792830728714	5.78032805324872	6.74758634090247	1.31892095315101e-09	2.85940454202951e-08	11.6148184588131
51441	YTHDF2	1.15653556574704	6.42580391678384	6.74105415423844	1.35919042241283e-09	2.93775170023635e-08	11.5855777355149
22919	MAPRE1	0.707547397477863	5.77053000784654	6.73227038875594	1.41526594749929e-09	3.0496836826265e-08	11.5462725938109
5675	PSG6	-1.33208536384332	6.62336184888562	-6.72689624219902	1.4506978953097e-09	3.11658994971216e-08	11.5222329054127
9921	RNF10	1.19352904803516	6.39467232998275	6.72248509208072	1.4804360895206e-09	3.17089790137981e-08	11.5025056069758
1440	CSF3	-1.8652718837872	7.97252708585342	-6.71838039015972	1.50865019702501e-09	3.22162509040385e-08	11.4841526075891
255877	BCL6B	-1.4250172299315	7.90992533225732	-6.71709856127183	1.51756960246382e-09	3.23096929434737e-08	11.4784220322678
151903	CCDC12	1.04423703280722	5.87001676452443	6.71627352764694	1.52333806989682e-09	3.23356925821978e-08	11.4747338073383
56099	PCDHGB7	-2.13324024441136	8.815883867402	-6.71164235869985	1.55612356855341e-09	3.29333175475693e-08	11.4540334310377
6248	RSC1A1	0.872535013544266	5.69552187862513	6.70647764054265	1.59351079626224e-09	3.36244963567382e-08	11.430953757471
55280	CWF19L1	1.23335025129233	6.40168562337357	6.70393067404332	1.61227429916152e-09	3.39197708323597e-08	11.4195742425951
26038	CHD5	-1.42941550644805	7.88503302833831	-6.70229922129588	1.62440798409364e-09	3.40742335542475e-08	11.4122858757198
84271	POLDIP3	0.988470812073214	5.91684434106852	6.69506848139325	1.67928305931848e-09	3.51217112788638e-08	11.3799902821226
399888	FAM180B	-1.4653206653203	7.46097767881442	-6.69196786769379	1.70337262995071e-09	3.55210638462742e-08	11.3661451544073
84285	EIF1AD	1.56026905709715	6.59930899906691	6.68789198704681	1.73556051503258e-09	3.60864643929727e-08	11.3479484267136
8366	H4C2	1.53181443286245	5.9452739802753	6.68659509107029	1.74592805025931e-09	3.61961934851136e-08	11.3421592221971
1051	CEBPB	0.86828739887985	5.75869822668459	6.68303106727717	1.77473610520979e-09	3.66864780353106e-08	11.3262517305613
8540	AGPS	0.678391618718218	5.53813100745442	6.67930598955742	1.80534897679876e-09	3.72111205043941e-08	11.309628425117
643332	ECRP	-1.80255970490034	8.21932002359198	-6.67827832753566	1.81388596977021e-09	3.72790263902774e-08	11.305042988207
8859	STK19	-1.66402274578425	8.84917415787512	-6.6741902235859	1.84824418449584e-09	3.78756899018729e-08	11.2868041705629
9295	SRSF11	1.58945639604741	6.21786780126602	6.67350002470794	1.85410815199568e-09	3.7886675485176e-08	11.2837252608749
146540	ZNF785	-0.96868945971852	9.12094576705947	-6.67250377617866	1.86260482744114e-09	3.7951240481186e-08	11.2792812818052
4439	MSH5	-1.46185529965893	8.16266375531099	-6.67025995041415	1.88188311233612e-09	3.82344880337775e-08	11.2692730331813
5682	PSMA1	0.991515575206289	5.92126478334854	6.66087250527659	1.96470206260536e-09	3.98034084535234e-08	11.2274140040895
375719	AQP7P1	-2.05547918680131	7.60559208293039	-6.65337960949029	2.03338735437663e-09	4.10778905595802e-08	11.1940171049475
1952	CELSR2	-2.46300705742996	8.85960305237729	-6.6511930156848	2.05387554622622e-09	4.13742464850273e-08	11.1842735386416
84919	PPP1R15B	1.00153622440129	5.6918554568649	6.64484683730617	2.11450295497027e-09	4.24752274372699e-08	11.156000802291
3146	HMGB1	1.71748400965944	6.52305013532358	6.64039094055721	2.15812699850297e-09	4.3229411510858e-08	11.1361548900518
